Survey,Year,Quarter,Ship,Gear,HaulNo,ShootLat,ShootLon,DateTime,Depth,Area,Subarea,DayNight,AphiaID,Species,Sex,Age_0,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Age_10,DateofCalculation
SWC-IBTS,1986,1,SCO2,GOV,7,58.7,-4.1333,03/03/1986 21:20:00,100,40,46E5,N,126438,Merlangius merlangus,-9,0,28.5,41.167,2.333,0,0,1,0,0,0,0,
SWC-IBTS,1986,1,SCO2,GOV,8,58.3833,-6.0667,04/03/1986 08:20:00,78,43,45E3,D,126438,Merlangius merlangus,-9,0,535.714,142.467,31.486,3.167,4.167,0,0,0,0,0,
SWC-IBTS,1986,1,SCO2,GOV,10,58.8333,-6.8667,04/03/1986 17:15:00,145,42,46E3,D,126438,Merlangius merlangus,-9,0,0,768,286.667,41.333,0,0,0,0,0,0,
SWC-IBTS,1986,1,SCO2,GOV,11,58.6,-5.9333,04/03/1986 21:42:00,106,42,46E4,N,126438,Merlangius merlangus,-9,0,139.5,45.5,6.167,0.833,0,0,0,0,0,0,
SWC-IBTS,1986,1,SCO2,GOV,12,58.25,-5.9833,05/03/1986 17:20:00,114,43,45E4,D,126438,Merlangius merlangus,-9,0,312,33.793,2.874,0,0.333,0,0,0,0,0,
SWC-IBTS,1986,1,SCO2,GOV,13,58.3833,-5.8,05/03/1986 20:05:00,96,43,45E4,N,126438,Merlangius merlangus,-9,0,128.286,10.679,1.036,0,0,0,0,0,0,0,
SWC-IBTS,1986,1,SCO2,GOV,14,57.9167,-6.1833,06/03/1986 08:20:00,100,43,44E3,D,126438,Merlangius merlangus,-9,0,1126.857,477.219,28.924,7.333,1.667,0,0,0,0,0,
SWC-IBTS,1986,1,SCO2,GOV,15,58.0667,-5.7667,06/03/1986 11:20:00,106,43,45E4,D,126438,Merlangius merlangus,-9,0,725.571,18.143,1.286,0,0,0,0,0,0,0,
SWC-IBTS,1986,1,SCO2,GOV,16,57.7833,-6.0167,06/03/1986 15:50:00,140,43,44E3,D,126438,Merlangius merlangus,-9,0,242.857,12.038,1.105,0,0,0,0,0,0,0,
SWC-IBTS,1986,1,SCO2,GOV,17,57.15,-6.9667,06/03/1986 21:30:00,116,45,43E3,N,126438,Merlangius merlangus,-9,0,7,7,1,0,0,0,0,0,0,0,
SWC-IBTS,1986,1,SCO2,GOV,19,56.7833,-9.0167,07/03/1986 12:55:00,140,44,42E0,D,126438,Merlangius merlangus,-9,0,0,2.143,4.824,2.014,1.4,0,0.619,0,0,0,
SWC-IBTS,1986,1,SCO2,GOV,20,57.2833,-8.4833,07/03/1986 17:35:00,138,44,43E1,D,126438,Merlangius merlangus,-9,0,7,476.076,136.138,15.357,0,4,1.429,0,0,0,
SWC-IBTS,1986,1,SCO2,GOV,21,57.65,-8.5167,07/03/1986 21:35:00,142,44,44E1,N,126438,Merlangius merlangus,-9,0,55,1769.467,352.314,44.476,3.067,9.95,6.393,0.333,0,0,
SWC-IBTS,1986,1,SCO2,GOV,22,57.5,-9.0833,09/03/1986 08:25:00,135,44,44E0,D,126438,Merlangius merlangus,-9,0,0,226.186,187.248,50.257,6.233,8.6,11.143,0.333,0,0,
SWC-IBTS,1986,1,SCO2,GOV,23,58.0167,-9.0667,09/03/1986 13:10:00,160,44,45E0,D,126438,Merlangius merlangus,-9,0,0,5.119,13.01,14.176,6.267,3.25,7.845,1.333,0,0,
SWC-IBTS,1986,1,SCO2,GOV,26,58.3333,-7.35,10/03/1986 08:25:00,82,44,45E2,D,126438,Merlangius merlangus,-9,0,10.333,263.838,42.843,3.243,0,0.6,0.143,0,0,0,
SWC-IBTS,1986,1,SCO2,GOV,31,58.7,-4.1167,13/03/1986 10:35:00,102,40,46E5,D,126438,Merlangius merlangus,-9,0,17,12.333,1.167,1.5,1,0,0,0,0,0,
SWC-IBTS,1986,1,SCO2,GOV,32,59.1833,-4.0833,13/03/1986 15:25:00,106,40,47E5,D,126438,Merlangius merlangus,-9,0,4,4.667,0.833,0.5,0,0,0,0,0,0,
SWC-IBTS,1986,1,SCO2,GOV,33,59.35,-5.25,13/03/1986 20:40:00,111,42,47E4,N,126438,Merlangius merlangus,-9,0,5.5,132.167,29.667,0.667,0,0,0,0,0,0,
SWC-IBTS,1986,1,SCO2,GOV,34,57.7833,-6,14/03/1986 12:30:00,138,43,44E3,D,126438,Merlangius merlangus,-9,0,571.714,16.6,1.352,1.333,0,0,0,0,0,0,
SWC-IBTS,1986,1,SCO2,GOV,35,56.95,-6.9667,14/03/1986 20:15:00,121,45,42E3,N,126438,Merlangius merlangus,-9,0,2,3.5,2.5,1,0,0,0,0,0,0,
SWC-IBTS,1986,1,SCO2,GOV,36,55.9667,-6.6833,15/03/1986 10:10:00,61,47,40E3,D,126438,Merlangius merlangus,-9,0,8,0,0,0,0,0,0,0,0,0,
